Cell,Peak_Time,Peak_Value,Plateau_Time,Plateau_Value,Half_Life,Rsquare,Num_Points
1,242,1.25590501283685,300,1.15609595640798,27.6393916881464,0.994096890477009,30
2,242,0.682796140006766,302,0.580207895250877,25.6383464835641,0.999301937834088,31
3,242,0.874231353971787,298,0.785758083195556,20.0884497294808,0.986567832163673,29
4,246,0.879929193671682,306,0.807425599278763,27.2099267035161,0.994973410841025,31
5,242,0.817709098024589,300,0.725138057722657,19.0030729668027,0.973107734464976,30
6,242,0.754981312064213,300,0.689206428986677,23.0874605162939,0.986305101052526,30
7,242,0.70951728546294,302,0.661784915694708,23.6051082526373,0.995502818297554,31
8,242,0.924230688313041,302,0.836482366082693,28.3799674129414,0.997267643632686,31
9,244,0.919580424252493,304,0.875893045380798,24.6482211540651,0.975995254590773,31
10,242,0.667232539990573,300,0.604937735190313,26.0383975355685,0.992597804794639,30
11,242,0.556453106715987,302,0.493686012691839,26.170233634929,0.988835692608865,31
12,242,0.821637462754386,302,0.76155340015414,26.1913966055269,0.984572430813049,31
