Acquisition Date,DIV,Genotype,Dish,Trial,Magnification,Chamber,Neuron,FPS,Bitdepth,Peak Num,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,1,81,0.982421,0.080638,35.490498,0.019031,0.020583,0.070816,-0.015039,0.010291,-0.042728,0,1.22665,0.647795,0.837748,0.124934,0.070816,-0.125336,-0.001305,0.017211,1.22665,0.657773
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,2,363,0.751924,0.007851,68.810912,0.013495,0.009033,0.033,-0.010307,0.00695,-0.02371,0.003546,1.22665,0.647795,0.837748,0.124934,0.070816,-0.125336,-0.001305,0.017211,1.22665,0.657773
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,1,79,1.069235,0.151936,16.363034,0.01464,0.005686,0.02262,-0.013081,0.006608,-0.019545,0,1.248078,0.51449,0.788191,0.1857,0.045846,-0.050249,-0.001657,0.015028,1.248078,0.525625
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,1,83,0.96471,0.039972,18.613109,0.011319,0.005967,0.020766,-0.014096,0.011717,-0.0258,0,1.160995,0.549537,0.755288,0.154676,0.054546,-0.092227,-0.001402,0.016774,1.160995,0.549537
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,1,81,1.009085,0.072968,37.27873,0.025638,0.01451,0.046519,-0.017505,0.010387,-0.031571,0,1.179086,0.615541,0.824147,0.127303,0.098096,-0.184079,-0.001223,0.030324,1.178828,0.645404
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,2,213,0.883863,0.125672,44.826656,0.021314,0.017626,0.053349,-0.022164,0.014719,-0.05744,0.007576,1.179086,0.615541,0.824147,0.127303,0.098096,-0.184079,-0.001223,0.030324,1.178828,0.645404
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,3,312,0.827132,0.058987,25.407438,0.018699,0.010856,0.034535,-0.022878,0.028887,-0.086209,0.010101,1.179086,0.615541,0.824147,0.127303,0.098096,-0.184079,-0.001223,0.030324,1.178828,0.645404
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,4,359,0.786508,0.152121,2.301232,0.098096,0,0.098096,-0.054025,0,-0.054025,0.021277,1.179086,0.615541,0.824147,0.127303,0.098096,-0.184079,-0.001223,0.030324,1.178828,0.645404
mm/dd/yyyy,,WT,,,20X,Microwell,5,1,16,1,81,1.555177,0.636493,11.45435,0.056191,0.018136,0.075032,-0.049892,0.035074,-0.086576,0,1.555177,0.521438,0.800822,0.196331,0.08691,-0.086576,-0.001496,0.023371,1.192472,0.540135
mm/dd/yyyy,,WT,,,20X,Microwell,6,1,16,1,78,0.99182,0.074512,41.897086,0.013472,0.01045,0.041744,-0.012343,0.007905,-0.030782,0,1.247634,0.623887,0.837605,0.135708,0.065397,-0.113825,-0.001381,0.020988,1.247634,0.645343
mm/dd/yyyy,,WT,,,20X,Microwell,6,1,16,2,361,0.7447,0.016267,52.410649,0.021312,0.014839,0.046512,-0.01653,0.008373,-0.028538,0.003534,1.247634,0.623887,0.837605,0.135708,0.065397,-0.113825,-0.001381,0.020988,1.247634,0.645343
mm/dd/yyyy,,WT,,,20X,Microwell,7,1,16,1,92,0.981089,0.082099,6.276681,0.030598,0.000509,0.030958,-0.028138,0.014339,-0.038278,0,1.179342,0.619741,0.827169,0.128184,0.056781,-0.068588,-0.001262,0.019239,1.179342,0.629269
mm/dd/yyyy,,WT,,,20X,Microwell,8,1,16,1,82,0.971278,0.244081,29.490906,0.024897,0.020168,0.056891,-0.013304,0.009636,-0.029851,0,1.161162,0.553782,0.805288,0.152303,0.06546,-0.211857,-0.001321,0.024238,1.161162,0.585268
mm/dd/yyyy,,WT,,,20X,Microwell,8,1,16,2,390,0.699005,0.111687,54.465622,0.010421,0.008237,0.032822,-0.020336,0.013802,-0.047655,0.003247,1.161162,0.553782,0.805288,0.152303,0.06546,-0.211857,-0.001321,0.024238,1.161162,0.585268
mm/dd/yyyy,,WT,,,20X,Microwell,9,1,16,1,67,10.719494,13.103176,11.674901,2.433985,4.857009,9.719494,-0.562614,0.108016,-0.753603,0,10.719494,0.986237,2.856545,1.33508,9.719494,-0.753603,0.002302,0.472777,1.190725,2.194597
mm/dd/yyyy,,WT,,,20X,Microwell,9,1,16,2,343,2.597185,0.142005,6.033957,0.061536,0.030713,0.083253,-0.037783,0.047759,-0.071554,0.003623,10.719494,0.986237,2.856545,1.33508,9.719494,-0.753603,0.002302,0.472777,1.190725,2.194597
mm/dd/yyyy,,WT,,,20X,Microwell,10,1,16,1,67,2.203432,1.808369,7.877801,0.408397,0.688528,1.203432,-0.150585,0.056454,-0.226999,0,2.203432,0.236795,0.63836,0.413057,1.203432,-0.226999,-0.002085,0.064769,1.214312,0.305262
