Acquisition Date,DIV,Genotype,Dish,Trial,Magnification,Chamber,Neuron,FPS,Bitdepth,Peak Num,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,1,61,0.493077,0.221445,5.244271,0.096618,0.039944,0.124862,-0.079895,0.052439,-0.116974,0,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,2,64,0.448987,0,0.694747,0,0,0.050186,0,0,-0.036305,0.333333,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,3,103,1.083804,0.18111,50.732164,0.021573,0.015424,0.2376,-0.020619,0.013604,-0.127859,0.025641,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,4,204,1.142877,0.372692,12.497513,0.0736,0.109383,0.163957,-0.052666,0.051757,-0.277452,0.009901,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,5,271,1.163957,0.289887,63.675365,0.02579,0.039485,0.052494,-0.034215,0.068144,-0.041506,0.014925,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,6,316,1.043883,0.110464,46.246679,0.019731,0.015767,0.029691,-0.020477,0.011524,-0.138261,0.022222,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,7,425,0.989667,0.259403,39.734821,0.012344,0.010291,0.050048,-0.033941,0.042369,-0.05208,0.009174,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,8,466,0.957323,0.055594,60.669337,0.020573,0.012252,0.108019,-0.017257,0.014345,-0.057867,0.02439,1.163957,0.07695,0.885194,0.215613,0.503169,-0.297052,0.001316,0.03905,0.07695,0.886367
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,1,61,0.608603,0.57298,4.585383,0.174984,0.020553,0.189518,-0.111506,0.012403,-0.120276,0,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,2,105,1.232867,0.181708,44.432028,0.018478,0.013861,0.047359,-0.021462,0.021364,-0.061224,0.022727,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,3,204,1.263855,0.489413,201.310089,0.025898,0.02574,0.166715,-0.030391,0.050378,-0.298434,0.010101,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,4,227,1.067613,0.097933,3.205099,0.021696,0.016508,0.033368,-0.080977,0,-0.080977,0.043478,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,5,271,1.181082,0.52061,4.91914,0.103195,0.110149,0.181082,-0.15711,0.199862,-0.298434,0.022727,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,6,322,0.981332,0.078847,27.171842,0.019136,0.017263,0.050073,-0.016886,0.012596,-0.041554,0.019608,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,7,414,0.921779,0.107914,18.564379,0.024089,0.018599,0.051201,-0.01815,0.014164,-0.040927,0.01087,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,8,471,0.886448,0.279557,32.295083,0.025798,0.021765,0.070495,-0.021123,0.018665,-0.056797,0.017544,1.263855,-0.022009,0.849084,0.248807,0.596951,-0.339445,0.00136,0.044773,-0.022009,0.814116
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,1,28,0.54483,0.132045,6.377269,0.019116,0.017071,0.034409,-0.041439,0.002209,-0.043001,0,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,2,61,0.860802,0.570319,4.072795,0.19593,0.100521,0.267009,-0.089229,0.015203,-0.099979,0.030303,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,3,111,1.633217,1.382076,136.020038,0.057962,0.087473,0.516752,-0.029943,0.025177,-0.096321,0.02,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,4,204,1.43741,0.305529,13.473596,0.062693,0.07558,0.116136,-0.091182,0.104164,-0.245221,0.010753,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,5,271,1.201274,0.447564,4.149392,0.201274,0,0.201274,-0.146043,0.203746,-0.290113,0.014925,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,6,280,1.0148,0.106228,5.539343,0.01569,0.015104,0.031901,-0.032395,0.044708,-0.064008,0.111111,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,7,325,1.016896,0.113628,4.331563,0.022384,0.018226,0.035272,-0.03443,0.009564,-0.041192,0.022222,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,8,407,0.94927,0.056115,3.375676,0.013381,0.007006,0.018335,-0.106804,0,-0.106804,0.012195,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,9,412,0.954245,0.055581,10.198126,0.07184,0.007936,0.077451,-0.034889,0.022957,-0.055293,0.2,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,10,468,0.895334,0.090154,35.458352,0.041984,0.025208,0.077903,-0.023583,0.008696,-0.037451,0.017857,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,11,518,0.885139,0.279178,8.152705,0.042261,0.008551,0.052045,-0.065009,0.045043,-0.112806,0.02,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,12,552,0.863268,0.078767,20.200943,0.024965,0.019823,0.064008,-0.025866,0.013759,-0.042508,0.029412,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,13,634,0.857595,0.072847,8.674899,0.024817,0.014906,0.039918,-0.030545,0.027848,-0.050236,0.012195,1.633217,0.260267,0.948397,0.286397,0.516752,-0.293279,0.000771,0.048287,0.294882,0.76925
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,1,61,0.780692,0.358438,2.523377,0.296681,0,0.296681,-0.061757,0,-0.061757,0,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,2,76,1.102431,0.120355,1.890688,0.041775,0,0.041775,-0.07858,0,-0.07858,0.066667,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,3,111,1.113256,0.221331,62.324351,0.021594,0.012083,0.045466,-0.022859,0.014747,-0.051358,0.028571,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,4,204,1.208376,0.559894,19.225777,0.065271,0.120243,0.30921,-0.072568,0.087371,-0.224916,0.010753,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,5,271,1.197977,0.498846,6.012505,0.121775,0.107766,0.197977,-0.096244,0.121336,-0.23606,0.014925,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,6,338,1.064383,0.16039,50.363036,0.020185,0.015809,0.060905,-0.027622,0.016135,-0.059237,0.014925,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,7,518,1.047205,0.362839,6.348103,0.080586,0.092583,0.146051,-0.120089,0.116826,-0.202697,0.005556,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,8,590,0.985909,0.054232,37.540318,0.01573,0.012781,0.043656,-0.018779,0.017891,-0.047134,0.013889,1.208376,0.027578,0.880414,0.222699,0.374552,-0.23606,0.001404,0.041511,0.027578,0.891216
mm/dd/yyyy,,WT,,,20X,Microwell,5,1,16,1,21,0.660835,0.077691,5.484048,0.024034,0.002474,0.025784,-0.050634,0.02342,-0.067194,0,1.343581,0.435812,0.90646,0.196238,0.389068,-0.213167,0.000487,0.039118,0.435812,0.735163
mm/dd/yyyy,,WT,,,20X,Microwell,5,1,16,2,61,0.905527,0.349628,2.480195,0.232157,0,0.232157,-0.117471,0,-0.117471,0.025,1.343581,0.435812,0.90646,0.196238,0.389068,-0.213167,0.000487,0.039118,0.435812,0.735163
