Acquisition Date,DIV,Genotype,Dish,Trial,Magnification,Chamber,Neuron,FPS,Bitdepth,Peak Num,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,1,41,1.788339,0.844955,3.053977,0.39417,0.444797,0.708689,-0.24316,0,-0.24316,0,2.013275,0.989986,1.359063,0.228721,0.708689,-0.533962,0.000056,0.057257,1.134948,1.164412
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,2,73,1.846643,0.400056,64.892622,0.04467,0.047931,0.186545,-0.017522,0.011254,-0.041097,0.03125,2.013275,0.989986,1.359063,0.228721,0.708689,-0.533962,0.000056,0.057257,1.134948,1.164412
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,3,181,1.78265,0.584958,24.107311,0.056188,0.12001,0.352714,-0.035925,0.032558,-0.096626,0.009259,2.013275,0.989986,1.359063,0.228721,0.708689,-0.533962,0.000056,0.057257,1.134948,1.164412
mm/dd/yyyy,,WT,,,20X,Microwell,1,1,16,4,253,2.013275,0.676658,26.846388,0.133517,0.140338,0.388237,-0.021048,0.016943,-0.050371,0.013889,2.013275,0.989986,1.359063,0.228721,0.708689,-0.533962,0.000056,0.057257,1.134948,1.164412
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,1,41,1.369525,0.516461,2.660823,0.348797,0,0.348797,-0.167664,0,-0.167664,0,1.660301,0.648746,1.061341,0.210589,0.691609,-0.283648,-0.000669,0.041328,1.001107,0.648746
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,2,62,1.580371,0.768219,76.062016,0.045498,0.067514,0.348797,-0.012374,0.008779,-0.031533,0.047619,1.660301,0.648746,1.061341,0.210589,0.691609,-0.283648,-0.000669,0.041328,1.001107,0.648746
mm/dd/yyyy,,WT,,,20X,Microwell,2,1,16,3,467,1.660301,0.962558,21.197313,0.119989,0.280059,0.691609,-0.026925,0.010482,-0.041682,0.002469,1.660301,0.648746,1.061341,0.210589,0.691609,-0.283648,-0.000669,0.041328,1.001107,0.648746
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,1,41,1.420052,0.577915,2.94744,0.387069,0,0.387069,-0.190846,0,-0.190846,0,1.64144,0.827407,1.282596,0.159336,0.387069,-0.306488,0.000535,0.034381,0.933674,1.215719
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,2,74,1.64144,0.788506,132.289453,0.038671,0.063419,0.387069,-0.016052,0.012424,-0.043871,0.030303,1.64144,0.827407,1.282596,0.159336,0.387069,-0.306488,0.000535,0.034381,0.933674,1.215719
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,3,262,1.507929,0.242669,18.681197,0.026283,0.01196,0.04098,-0.024014,0.018399,-0.044684,0.005319,1.64144,0.827407,1.282596,0.159336,0.387069,-0.306488,0.000535,0.034381,0.933674,1.215719
mm/dd/yyyy,,WT,,,20X,Microwell,3,1,16,4,481,1.609904,0.43957,17.228112,0.033274,0.01881,0.066846,-0.026992,0.012446,-0.045362,0.004566,1.64144,0.827407,1.282596,0.159336,0.387069,-0.306488,0.000535,0.034381,0.933674,1.215719
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,1,41,1.670201,0.732385,3.039693,0.335101,0.41816,0.630785,-0.137058,0,-0.137058,0,1.99369,0.9685,1.372377,0.25035,0.630785,-0.266895,0.000137,0.042257,1.01629,1.088261
mm/dd/yyyy,,WT,,,20X,Microwell,4,1,16,2,88,1.99369,0.7142,93.244822,0.03452,0.028862,0.102776,-0.027952,0.020253,-0.072739,0.021277,1.99369,0.9685,1.372377,0.25035,0.630785,-0.266895,0.000137,0.042257,1.01629,1.088261
