Acquisition Date,DIV,Genotype,Dish,Trial,Neuron,Peak Values, Peak Value Stdev,Peak Widths (s),Peak Widths Stdev (s),Mean Amplitude,Stdev Amplitude,Period (s),Stdev Period (s),Peak Rise Rate,Stdev Peak Rise Rate,Peak Fall Rate,Stdev Peak Fall Rate,Frequency (Hz),Stdev Frequency (Hz),I - Maximum,I - Minimum,I - Mean,I - Stdev,dI/dt - Maximum,dI/dt - Minimum,dI/dt - Mean,dI/dt - Stdev,I - Start,I - End,Score
6/1/18,7,WT,1,1,1,0.528218,0.036333,2.111753,0.248416,0.422222,0.07164,2.095,0.235129,58.379519,11.272802,-6.074303,1.188,0.066844,0.072919,39717.18,25425.947,29158.97799,2942.463119,2968.295,-377.61,0.928259,190.638543,25761.092,30401.459,4
6/1/18,7,WT,1,1,2,0.501163,0.087317,2.199414,0.424702,0.43339,0.066594,2.166667,0.409031,60.687694,2.85482,-6.858127,1.25429,0.039737,0.007062,37655.797,23526.098,25290.04184,2177.690201,2432.471,-417.063,0.325597,146.184883,23855.529,25483.188,4.5
6/1/18,7,WT,1,1,3,0.606676,0,1.444996,0.373886,0.540508,0,1.426667,0.294845,64.573226,4.068115,-6.350453,1.339673,0.032707,0.002714,40613.844,25278.182,27450.86108,1591.33597,2728.014,-417.568,0.75259,122.256402,25351.322,29113.518,4
6/1/18,7,WT,1,1,4,0.62387,0.086006,3.721018,0.339292,0.577818,0.088711,3.64,0.552087,58.629479,11.419645,-5.932629,1.120619,0.039819,0.007454,40368.961,23065.545,25912.95089,3243.082634,2674.362,-334.388,0.46924,156.982981,23519.125,25864.857,5
6/1/18,7,WT,1,1,5,NaN,NaN,NaN,NaN,0.073304,0.019826,2.253333,0.560381,5.844603,0.950948,-5.211646,0.835696,0.06595,0.048649,25468.451,23050.371,23815.13077,477.604477,357.019,-317.347,0.174134,88.559236,23475.012,24345.506,3.5
6/1/18,7,WT,1,1,6,NaN,NaN,NaN,NaN,0.048178,0.007842,1.48,0.25923,5.631233,0.925649,-4.367908,0.76718,0.075487,0.063379,30323.594,27775.672,28541.74436,448.632472,410.719,-309.902,0.175749,91.161415,28285.244,29163.811,3.5
6/1/18,7,WT,1,1,7,NaN,NaN,NaN,NaN,0.044784,0.006066,1.314286,0.327763,5.451436,0.966028,-4.63658,0.72727,0.038254,0.007219,29386.256,25873.693,27186.37261,840.477508,370.797,-322.916,0.502,85.827973,26044.594,28554.09,2.5
6/1/18,7,WT,1,1,8,NaN,NaN,NaN,NaN,0.049726,0.014493,1.473333,0.228269,6.773284,1.669334,-4.090988,0.649498,0.038347,0.007941,25719.844,23037.199,24200.28235,678.548449,386.008,-243.414,0.374083,73.955286,23332.645,25202.688,2.5
6/1/18,7,WT,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/18,7,WT,1,1,10,0.388269,0.021184,1.889326,0.160911,0.314127,0.011356,1.8,0,48.683752,2.922806,-4.756409,0.830945,0.037481,0,34121.539,24316.121,25306.35656,1208.945952,1974.488,-300.153,0.313673,102.84636,24467.459,26035.512,5
6/1/18,7,WT,1,1,11,0.190471,0,1.196943,0,0.171703,0,1.28,0.215407,56.638109,0,-4.232122,0.699386,0.030492,0.005075,27090.986,22756.531,23649.16875,578.34079,2062.219,-247.953,0.293166,81.479176,22993.375,24458.914,3.5
6/1/18,7,WT,1,1,12,0.101108,0,2.36507,0,0.078887,0.017931,1.806667,0.423635,6.567791,1.339412,-4.843028,0.786315,0.070359,0.052476,22685.104,20602.062,21352.9106,446.007688,357.615,-261.215,0.193432,76.532663,20911.285,21878.25,2.5
6/1/18,7,WT,1,1,13,NaN,NaN,NaN,NaN,0.038855,0.007466,1.142857,0.210215,5.589177,0.938229,-4.018758,0.701113,0.096848,0.111887,24644.676,21945.178,23022.38185,662.71452,329.377,-221.821,0.42378,71.070506,22020.443,24138.92,1.5
6/1/18,7,WT,1,1,14,NaN,NaN,NaN,NaN,0.045939,0.008926,2.576,0.584192,6.289557,1.153896,-4.747874,0.799859,0.038249,0.006931,27184.246,25004.043,25829.84608,448.774591,414.555,-315.383,0.115011,80.804541,25278.707,25853.648,3.5
6/1/18,7,WT,1,1,15,NaN,NaN,NaN,NaN,0.016121,0.002965,124.16,0,5.405644,0.670175,-5.608779,0.809791,0.645272,0.549101,27912.801,26110.021,27291.78343,290.5121,396.276,-402.19,-0.179241,91.896435,27209.141,26313.115,1
6/1/18,7,WT,1,2,1,0.457039,0.103417,2.898918,0.509338,0.434484,0.096926,3.262222,0.734605,16.528655,3.231042,-6.081027,1.1517,0.082285,0.065496,39185.871,24997.07,28532.59557,2418.903233,984.746,-362.961,-1.121471,105.934749,35845.191,29117.486,4.5
